wavelength,1,2,3,4,5
668.0,0.00881,0.0185,0.05144,0.07539,0.12035
667.0,0.0094,0.01967,0.05475,0.07985,0.12779000000000001
666.0,0.01004,0.020880000000000003,0.05819,0.08463,0.13564
665.0,0.01069,0.02217,0.0618,0.08959,0.1439
664.0,0.01132,0.02352,0.06561,0.09477000000000001,0.15254
663.0,0.01195,0.024909999999999998,0.06949,0.10017000000000001,0.16155
662.0,0.01266,0.02636,0.07357000000000001,0.1059,0.17107999999999998
661.0,0.01339,0.027960000000000002,0.07794,0.11192,0.18108
660.0,0.0141,0.02961,0.0825,0.11813,0.19146
659.0,0.01485,0.03128,0.08717000000000001,0.1245,0.2023
658.0,0.01571,0.03305,0.0921,0.13117,0.21356999999999998
657.0,0.01652,0.03482,0.09717,0.13809000000000002,0.2252
656.0,0.01738,0.03665,0.10240999999999999,0.14525,0.23723000000000002
655.0,0.0183,0.03854,0.10789000000000001,0.15274000000000001,0.2496
654.0,0.01923,0.04052,0.11345999999999999,0.16045,0.26229
653.0,0.02017,0.0426,0.11922999999999999,0.16842000000000001,0.2754
652.0,0.02118,0.04477,0.12523,0.17657,0.28899
651.0,0.02222,0.04699,0.13133,0.18492,0.30307
650.0,0.02332,0.04918,0.13752999999999999,0.19354000000000002,0.31745999999999996
649.0,0.02436,0.05145,0.14393,0.20234000000000002,0.33218000000000003
648.0,0.02543,0.053779999999999994,0.15050999999999998,0.21133000000000002,0.34728000000000003
647.0,0.02658,0.056179999999999994,0.1573,0.22048,0.36277
646.0,0.027739999999999997,0.058620000000000005,0.16419,0.22983,0.37842
645.0,0.02885,0.061020000000000005,0.17109000000000002,0.2392,0.39429000000000003
644.0,0.02997,0.06347,0.17803,0.24874000000000002,0.41034
643.0,0.03119,0.06605,0.18509,0.25853000000000004,0.42651000000000006
642.0,0.03244,0.06859,0.19226,0.26832,0.44287
641.0,0.033639999999999996,0.07111,0.19939,0.27810999999999997,0.4591
640.0,0.03476,0.0736,0.20649,0.28779,0.47529
639.0,0.0359,0.07608999999999999,0.21345,0.29739,0.49137
638.0,0.03702,0.07852,0.22034,0.30695,0.50732
637.0,0.03815,0.08098,0.22719,0.31637,0.52312
636.0,0.03932,0.08345,0.23396999999999998,0.32563000000000003,0.5386
635.0,0.04052,0.08582000000000001,0.24061,0.33468000000000003,0.55388
634.0,0.04165,0.08811000000000001,0.24709,0.34341,0.56871
633.0,0.04267,0.09034,0.2534,0.35191999999999996,0.58302
632.0,0.04359,0.09246,0.25941,0.36015,0.59677
631.0,0.04464,0.09452,0.26511999999999997,0.36808,0.6100399999999999
630.0,0.04558,0.09646,0.27064,0.37561,0.62262
629.0,0.04647,0.09834,0.27594,0.38277,0.63443
628.0,0.04726,0.10007,0.28085,0.38942,0.6457
627.0,0.04796,0.10162,0.28539000000000003,0.39555999999999997,0.65596
626.0,0.04862,0.10309000000000001,0.28949,0.40116999999999997,0.66545
625.0,0.04924,0.10442,0.29322,0.40641,0.67424
624.0,0.04987,0.10570999999999998,0.29663,0.41106000000000004,0.6822
623.0,0.05039,0.10682,0.29969,0.41523999999999994,0.68917
622.0,0.05087,0.10778,0.30238000000000004,0.4188,0.69525
621.0,0.05122,0.10852,0.30465,0.42173,0.70039
620.0,0.05148,0.10910999999999998,0.30644,0.42415,0.7045100000000001
619.0,0.05172,0.10962999999999999,0.30791,0.42618999999999996,0.70775
618.0,0.051989999999999995,0.11005999999999999,0.30896999999999997,0.42765,0.71008
617.0,0.05214,0.11030999999999999,0.30961,0.42854,0.71155
616.0,0.05219,0.11041,0.30992,0.42893000000000003,0.71225
615.0,0.05215,0.11037000000000001,0.30984,0.42873999999999995,0.71196
614.0,0.05212000000000001,0.11024,0.30946999999999997,0.42815,0.71109
613.0,0.05197,0.11005999999999999,0.30876,0.42718999999999996,0.70931
612.0,0.05186,0.1097,0.30775,0.42577,0.70685
611.0,0.05169,0.10920999999999999,0.30635999999999997,0.42391,0.70367
610.0,0.05142000000000001,0.10855999999999999,0.30464,0.42152,0.69976
609.0,0.05105,0.10787999999999999,0.30267,0.41891000000000006,0.6953199999999999
608.0,0.05067,0.10712999999999999,0.30044,0.41591999999999996,0.69028
607.0,0.05027,0.10628,0.29811,0.41263,0.6846399999999999
606.0,0.04992,0.10538,0.29551,0.40903,0.67857
605.0,0.04955,0.10450999999999999,0.29273000000000005,0.40525,0.6723
604.0,0.0491,0.10353,0.28978000000000004,0.40125,0.66546
603.0,0.04857,0.1024,0.28661,0.39691,0.65823
602.0,0.04807,0.10123,0.28339000000000003,0.39239,0.65079
601.0,0.04759,0.10011,0.28014,0.38783,0.6431
600.0,0.047060000000000005,0.09892000000000001,0.27671,0.38309,0.6350899999999999
599.0,0.04654,0.09776,0.27313000000000004,0.37834,0.62689
598.0,0.04602,0.09657,0.2696,0.37346999999999997,0.61862
